review_id,customer_name,age,brand,model,price_usd,currency,exchange_rate_to_usd,rating,sentiment,country,language,review_date,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes,source
16,Ana Sophia Pereira,19,Realme,Realme Narzo 70,262.0,BRL,5.7,2.0,Neutral,Brazil,Portuguese,2025-07-04,False,2,1,2,2,1,3,Flipkart
17,Nicholas Martin,18,Google,Pixel 7a,1010.68,USD,1.0,4.0,Positive,USA,English,2024-06-02,True,4,4,3,4,4,11,Flipkart
18,Henry Rodrigues,39,Motorola,Razr 40,678.98,BRL,5.7,2.0,Negative,Brazil,Portuguese,2024-03-08,True,2,1,2,1,1,1,AliExpress
19,Erdal Beckmann,18,Xiaomi,Poco X6,432.8,EUR,0.93,5.0,Positive,Germany,German,2024-02-24,True,4,5,5,3,4,2,Amazon
20,Austin Gentry,43,Realme,Realme Narzo 70,403.17,AUD,1.53,5.0,Positive,Australia,English,2025-03-21,True,5,5,5,5,4,3,eBay
21,Charles Kelly-Morley,46,Apple,iPhone SE,1470.12,GBP,0.78,1.0,Negative,UK,English,2025-07-16,False,1,1,1,1,1,3,BestBuy
22,Derek Wright,22,Motorola,Razr 40,567.03,CAD,1.38,5.0,Positive,Canada,English,2025-03-12,True,3,4,5,4,4,5,AliExpress
23,Priya Rastogi,53,Motorola,Razr 40,227.18,INR,83.0,4.0,Positive,India,Hindi,2024-05-06,True,4,4,3,4,4,9,Amazon
24,Zachary Hicks,25,OnePlus,OnePlus Nord 3,395.08,CAD,1.38,4.0,Positive,Canada,English,2023-03-12,False,4,4,3,3,3,10,Amazon
25,Shannon Hernandez,27,Apple,iPhone 15 Pro,997.61,USD,1.0,3.0,Neutral,USA,English,2023-06-27,True,2,4,3,3,4,2,eBay
26,Prof. Anne Krause,27,Google,Pixel 8,506.5,EUR,0.93,2.0,Negative,Germany,German,2024-06-05,False,1,3,3,1,1,3,AliExpress
27,Julie King,29,Motorola,Razr 40,673.77,CAD,1.38,3.0,Positive,Canada,English,2025-02-27,False,1,4,2,3,3,2,BestBuy
28,Alexandra Le,25,Xiaomi,Poco X6,236.38,AED,3.67,3.0,Negative,UAE,English,2025-09-15,True,3,1,1,2,2,4,BestBuy
29,Nicole Mack,29,Apple,iPhone 13,1094.1,CAD,1.38,3.0,Positive,Canada,English,2024-04-02,True,4,3,3,3,1,3,Amazon
30,Chaaya Saran,30,Samsung,Galaxy S24,1369.88,INR,83.0,3.0,Positive,India,Hindi,2023-06-24,True,3,3,3,5,3,5,BestBuy
31,Troy Liu,39,Realme,Realme Narzo 70,298.0,CAD,1.38,1.0,Negative,Canada,English,2023-12-05,True,1,1,1,1,2,0,AliExpress
32,Pamela Romero,33,Google,Pixel 7a,1084.64,CAD,1.38,1.0,Negative,Canada,English,2023-04-05,True,2,1,1,1,1,5,Amazon
33,Elizabeth Fowler,25,Realme,Realme Narzo 70,571.75,AUD,1.53,2.0,Negative,Australia,English,2025-05-25,True,1,3,1,3,1,0,Amazon
34,Michael Prakash,45,Realme,Realme 12 Pro,543.18,INR,83.0,1.0,Negative,India,Hindi,2023-06-29,False,1,1,1,1,1,3,Amazon
35,Paula Moreno,45,Samsung,Galaxy A55,1071.57,CAD,1.38,4.0,Positive,Canada,English,2022-10-22,True,4,5,5,4,2,4,Flipkart
36,Katherine Rodriguez,40,OnePlus,OnePlus Nord 3,438.64,CAD,1.38,4.0,Positive,Canada,English,2024-05-07,False,2,2,1,3,4,8,AliExpress
37,Wriddhish Bhardwaj,34,Apple,iPhone 14,906.6,INR,83.0,4.0,Positive,India,Hindi,2023-10-31,True,5,2,3,3,2,5,eBay
38,Anna Liz Barros,21,Xiaomi,Redmi Note 13,220.43,BRL,5.7,4.0,Positive,Brazil,Portuguese,2024-11-14,True,3,2,3,4,1,4,eBay
39,Raimund Reichmann,27,OnePlus,OnePlus Nord 3,917.83,EUR,0.93,1.0,Negative,Germany,German,2023-05-05,True,1,1,1,1,1,2,BestBuy
40,Vaishnavi Gandhi,38,Samsung,Galaxy S24,1147.47,INR,83.0,2.0,Positive,India,Hindi,2023-12-07,True,1,2,2,1,2,4,eBay
41,Leon Davison,19,Google,Pixel 6,512.04,GBP,0.78,3.0,Positive,UK,English,2023-09-16,False,4,3,2,4,3,5,Amazon
42,Nicole Vaughn,18,Google,Pixel 8,887.55,CAD,1.38,2.0,Neutral,Canada,English,2024-02-18,False,2,1,1,1,1,2,AliExpress
43,Michael Brooks,29,Samsung,Galaxy S24,924.51,USD,1.0,4.0,Positive,USA,English,2025-01-03,False,4,4,3,3,4,5,Flipkart
44,David Brown,25,Realme,Realme Narzo 70,358.68,CAD,1.38,4.0,Positive,Canada,English,2022-11-23,True,3,2,4,2,4,3,BestBuy
45,Crystal Robinson,37,Xiaomi,Mi 13 Pro,443.83,USD,1.0,4.0,Positive,USA,English,2023-02-09,True,5,4,3,5,2,7,AliExpress
46,Amy Jones,28,Apple,iPhone 14,1292.9,CAD,1.38,2.0,Neutral,Canada,English,2022-12-09,True,2,1,2,1,1,3,BestBuy
47,Andrea Young,43,Apple,iPhone 13,1401.76,AUD,1.53,4.0,Positive,Australia,English,2025-08-26,True,3,1,5,3,2,8,AliExpress
48,Tanish Zacharia,36,Realme,Realme Narzo 70,238.49,INR,83.0,3.0,Neutral,India,Hindi,2023-05-15,False,5,3,3,2,2,2,Amazon
49,Sonya Johnston,38,Samsung,Galaxy Note 20,969.89,USD,1.0,2.0,Neutral,USA,English,2023-11-03,True,3,1,1,1,2,3,BestBuy
50,Rhonda Lee,31,OnePlus,OnePlus 11R,574.7,CAD,1.38,5.0,Positive,Canada,English,2023-03-21,True,5,4,2,5,5,4,BestBuy
51,Ing. Hildegart Langern,34,Google,Pixel 7a,917.99,EUR,0.93,1.0,Negative,Germany,German,2024-10-16,True,2,2,2,1,1,2,BestBuy
52,Amy Valdez,55,Apple,iPhone 14,1094.51,AUD,1.53,1.0,Negative,Australia,English,2025-07-21,True,1,1,1,2,1,0,eBay
53,Bento Guerra,30,Google,Pixel 6,700.1,BRL,5.7,5.0,Positive,Brazil,Portuguese,2024-04-01,True,3,3,4,5,4,3,Flipkart
54,Ashley Lee,48,Google,Pixel 8,1048.91,AUD,1.53,3.0,Positive,Australia,English,2025-02-01,True,4,2,1,5,3,4,eBay
55,Logan Sami,18,OnePlus,OnePlus Nord 3,473.95,INR,83.0,5.0,Positive,India,Hindi,2023-08-03,True,5,2,2,3,3,6,eBay
56,Ravi da Cruz,39,OnePlus,OnePlus 11R,366.5,BRL,5.7,4.0,Positive,Brazil,Portuguese,2023-02-16,False,5,4,2,3,4,3,Flipkart
57,Henry Gibson,41,Motorola,Edge 50,633.36,GBP,0.78,1.0,Negative,UK,English,2025-07-31,True,1,1,1,1,1,3,BestBuy
58,Dr. Tracy House DVM,18,Motorola,Moto G Power,355.65,CAD,1.38,3.0,Neutral,Canada,English,2023-07-07,True,3,1,4,1,4,8,Amazon
59,John Hancock,36,Xiaomi,Redmi Note 13,211.23,AED,3.67,5.0,Positive,UAE,English,2023-01-21,False,4,4,3,5,3,4,eBay
60,Aaron Myers,32,OnePlus,OnePlus Nord 3,438.98,CAD,1.38,2.0,Negative,Canada,English,2024-09-27,True,2,3,3,1,1,1,eBay
61,Michael Cross,22,OnePlus,OnePlus Nord 3,458.08,USD,1.0,3.0,Neutral,USA,English,2025-03-03,True,2,1,2,1,2,4,eBay
62,Mohammed Gupta,36,Realme,Realme Narzo 70,270.27,INR,83.0,5.0,Positive,India,Hindi,2024-01-25,True,3,4,4,3,5,2,BestBuy
63,Benjamin Pacheco,48,Apple,iPhone 14,1282.55,BRL,5.7,3.0,Positive,Brazil,Portuguese,2025-02-10,True,3,2,3,3,3,3,AliExpress
64,Erik Williams,31,Apple,iPhone 15 Pro,1460.19,CAD,1.38,3.0,Positive,Canada,English,2024-10-31,True,1,3,3,3,4,7,Amazon
65,Sarah Moore,18,Google,Pixel 6,923.35,CAD,1.38,2.0,Negative,Canada,English,2024-12-18,True,1,3,1,2,2,2,BestBuy
66,Cody Larson,19,Google,Pixel 7a,857.76,USD,1.0,4.0,Positive,USA,English,2025-09-04,True,5,3,4,4,2,6,BestBuy
67,Dipl.-Ing. Bruno Roskoth B.A.,40,Xiaomi,Poco X6,635.05,EUR,0.93,4.0,Positive,Germany,German,2025-04-08,True,3,5,5,3,3,4,eBay
68,Lorenzo Butte,18,Realme,Realme 12 Pro,300.64,EUR,0.93,5.0,Positive,Germany,German,2024-08-03,True,3,3,5,4,4,8,Flipkart
69,Krystal Stewart,24,Xiaomi,Poco X6,503.87,AUD,1.53,3.0,Positive,Australia,English,2023-12-01,True,2,2,2,4,4,4,Flipkart
70,Hollie Edwards,21,Google,Pixel 7a,822.18,GBP,0.78,3.0,Neutral,UK,English,2023-10-27,True,2,1,2,2,3,1,AliExpress
71,Carlos Brewer,20,OnePlus,OnePlus 12,615.49,CAD,1.38,5.0,Positive,Canada,English,2024-10-01,False,4,4,5,3,1,10,Flipkart
72,Paul Jones,40,Apple,iPhone 14,1266.69,CAD,1.38,1.0,Negative,Canada,English,2024-10-02,True,2,2,1,1,1,2,eBay
73,Kristine Garcia,30,Samsung,Galaxy Z Flip,1217.97,AED,3.67,1.0,Negative,UAE,English,2025-02-03,True,1,1,1,1,1,2,Amazon
74,Thiago da Luz,29,Motorola,Edge 50,656.62,BRL,5.7,3.0,Positive,Brazil,Portuguese,2023-05-15,False,3,3,3,2,3,4,AliExpress
75,Shirley Suarez,24,Xiaomi,Redmi Note 13,510.46,CAD,1.38,4.0,Positive,Canada,English,2024-05-18,True,3,1,4,5,2,6,eBay
76,Jeffrey Daniels,18,Realme,Realme Narzo 70,214.6,AED,3.67,2.0,Neutral,UAE,English,2024-02-03,False,2,2,1,3,1,1,eBay
77,Victoria Valdez,33,Motorola,Razr 40,790.39,AED,3.67,4.0,Positive,UAE,English,2022-11-03,True,2,5,3,5,4,5,Flipkart
78,Valentina Spieß,29,Motorola,Razr 40,752.51,EUR,0.93,3.0,Neutral,Germany,German,2023-03-31,True,4,2,4,2,1,0,BestBuy
79,Franco Drub-Döring,39,Xiaomi,Redmi Note 13,490.99,EUR,0.93,3.0,Positive,Germany,German,2025-02-27,True,2,2,2,2,5,4,AliExpress
80,Abigail Bird,29,Apple,iPhone 13,1084.41,GBP,0.78,4.0,Positive,UK,English,2023-09-14,True,2,5,4,3,4,3,Flipkart
81,Sra. Gabrielly Rodrigues,27,Apple,iPhone 15 Pro,726.56,BRL,5.7,3.0,Positive,Brazil,Portuguese,2025-07-03,True,4,3,2,3,4,2,Flipkart
82,Thiago Mendonça,33,Motorola,Moto G Power,524.78,BRL,5.7,3.0,Neutral,Brazil,Portuguese,2023-11-16,True,3,2,4,3,3,3,AliExpress
83,George Sampath,24,Xiaomi,Mi 13 Pro,565.79,INR,83.0,3.0,Positive,India,Hindi,2023-12-25,True,3,4,5,2,2,5,eBay
84,Gavin Anderson,40,Google,Pixel 6,518.39,CAD,1.38,5.0,Positive,Canada,English,2023-12-02,True,4,5,5,3,4,5,eBay
85,Jeremy Thornton,24,Apple,iPhone 15 Pro,1280.21,AUD,1.53,3.0,Positive,Australia,English,2025-03-11,False,3,3,3,1,4,4,Flipkart
86,Isaac Borra,29,Google,Pixel 6,1082.84,INR,83.0,5.0,Positive,India,Hindi,2025-09-29,True,5,5,4,5,2,5,eBay
87,Teresa Fowler,33,Samsung,Galaxy Z Flip,1056.74,GBP,0.78,4.0,Positive,UK,English,2024-05-17,True,3,4,4,2,4,5,Flipkart
88,Brittany Anderson,26,Xiaomi,Mi 13 Pro,443.83,AUD,1.53,3.0,Neutral,Australia,English,2024-02-12,True,4,2,2,3,2,1,eBay
89,Timothy Stanton,30,OnePlus,OnePlus 12,525.34,AED,3.67,5.0,Positive,UAE,English,2022-12-22,False,5,4,5,3,5,5,BestBuy
90,Shivansh Krish,36,Samsung,Galaxy S24,707.93,INR,83.0,3.0,Neutral,India,Hindi,2025-08-23,True,1,2,4,2,3,5,Amazon
91,Richard Henson,41,Google,Pixel 8,1021.34,CAD,1.38,3.0,Neutral,Canada,English,2024-07-14,True,3,1,4,1,3,1,AliExpress
92,Vincenzo Hellwig-Fröhlich,33,Samsung,Galaxy Z Flip,1377.17,EUR,0.93,3.0,Positive,Germany,German,2023-07-24,True,3,4,3,2,3,7,Amazon
93,Frau Cindy Walter,18,Motorola,Edge 50,514.92,EUR,0.93,3.0,Positive,Germany,German,2024-03-21,False,4,2,2,1,2,3,AliExpress
94,Isadora da Mata,39,Realme,Realme Narzo 70,440.19,BRL,5.7,3.0,Positive,Brazil,Portuguese,2023-06-26,True,2,1,5,1,1,7,Flipkart
95,Ashley Brennan,32,Apple,iPhone SE,856.62,USD,1.0,5.0,Positive,USA,English,2024-10-22,True,5,4,4,4,3,6,eBay
96,Robert Stevens,28,Realme,Realme Narzo 70,294.5,USD,1.0,4.0,Positive,USA,English,2024-02-08,True,3,3,4,5,4,5,eBay
97,Shelby Walker,31,Motorola,Moto G Power,530.14,USD,1.0,4.0,Positive,USA,English,2025-08-12,True,5,4,3,4,4,6,eBay
98,Murilo Farias,23,Realme,Realme 12 Pro,525.5,BRL,5.7,3.0,Positive,Brazil,Portuguese,2023-12-28,True,3,2,5,1,3,4,AliExpress
99,Tracy Ramirez,32,Motorola,Moto G Power,585.18,AED,3.67,1.0,Neutral,UAE,English,2025-07-14,True,2,1,1,1,1,2,BestBuy
100,Meghan Anthony,35,Motorola,Edge 50,615.46,USD,1.0,1.0,Negative,USA,English,2024-03-19,True,2,1,1,1,1,1,eBay
101,Danilo da Luz,18,Google,Pixel 6,541.65,BRL,5.7,4.0,Positive,Brazil,Portuguese,2023-07-26,True,4,4,2,4,5,6,BestBuy
102,Victoria Johnson,20,Samsung,Galaxy Z Flip,1357.63,CAD,1.38,3.0,Positive,Canada,English,2025-05-05,True,3,2,3,4,2,6,AliExpress
103,Hemani Murthy,31,Realme,Realme Narzo 70,596.84,INR,83.0,2.0,Negative,India,Hindi,2024-08-29,True,4,2,2,1,2,2,eBay
104,Kayla Cruz,22,Xiaomi,Poco X6,351.56,CAD,1.38,4.0,Positive,Canada,English,2025-04-04,True,3,4,4,3,2,9,Amazon
105,Andrew Graham,35,Apple,iPhone SE,1353.96,CAD,1.38,4.0,Positive,Canada,English,2025-01-06,True,3,3,2,3,2,9,AliExpress
106,Kimberly Ball,26,OnePlus,OnePlus Nord 3,676.67,AUD,1.53,5.0,Positive,Australia,English,2025-08-28,True,4,5,5,3,4,4,eBay
107,Hans-Christian Losekann B.Sc.,44,OnePlus,OnePlus Nord 3,752.73,EUR,0.93,2.0,Neutral,Germany,German,2025-08-18,True,2,1,1,1,1,4,eBay
108,Lisa Alvarado,19,Apple,iPhone 13,1199.12,CAD,1.38,4.0,Positive,Canada,English,2023-05-03,True,3,3,4,3,2,4,eBay
109,Jolanthe Jessel,33,Motorola,Razr 40,449.69,EUR,0.93,4.0,Positive,Germany,German,2025-08-22,True,2,4,3,4,4,4,BestBuy
110,Eta Rau,18,Samsung,Galaxy Note 20,724.68,INR,83.0,2.0,Neutral,India,Hindi,2025-10-09,True,1,1,1,2,2,4,Amazon
111,Julia Clarke-Burton,23,Google,Pixel 7a,809.44,GBP,0.78,3.0,Negative,UK,English,2024-06-01,False,3,3,4,4,3,1,eBay
112,Stephanie Gilbert,26,OnePlus,OnePlus Nord 3,682.94,AED,3.67,2.0,Neutral,UAE,English,2024-02-01,True,2,1,1,3,1,1,Amazon
113,Roy Torres,37,OnePlus,OnePlus Nord 3,463.17,USD,1.0,5.0,Positive,USA,English,2023-09-13,True,5,4,3,5,4,5,AliExpress
114,Miss Joan Williams,30,Realme,Realme 12 Pro,515.46,GBP,0.78,4.0,Positive,UK,English,2025-09-05,True,4,5,4,4,5,4,Flipkart
115,John Santana,31,Apple,iPhone 15 Pro,1045.66,CAD,1.38,4.0,Positive,Canada,English,2023-07-12,True,3,3,4,3,2,11,eBay
116,Antonella da Paz,29,OnePlus,OnePlus 11R,704.27,BRL,5.7,2.0,Negative,Brazil,Portuguese,2024-12-30,True,1,2,2,2,1,4,Amazon
117,Lisa Davis,33,Motorola,Edge 50,378.53,CAD,1.38,3.0,Neutral,Canada,English,2023-10-21,True,4,3,2,1,2,2,Flipkart
118,Dean Wilson,24,Samsung,Galaxy S24,1133.07,GBP,0.78,2.0,Neutral,UK,English,2023-08-27,True,1,2,3,1,1,1,AliExpress
119,Aryan Batra,18,Xiaomi,Mi 13 Pro,638.33,INR,83.0,1.0,Negative,India,Hindi,2023-11-06,True,1,1,1,2,2,0,eBay
120,Prof. Sigrid Wilmsen B.Sc.,24,Apple,iPhone 13,1195.67,EUR,0.93,3.0,Positive,Germany,German,2024-09-28,True,5,2,3,4,5,7,AliExpress
121,Univ.Prof. Leni Gude,39,Samsung,Galaxy A55,458.55,EUR,0.93,5.0,Positive,Germany,German,2025-10-07,True,5,5,3,4,4,6,BestBuy
122,Jeannine Kuhl-Henk,26,Google,Pixel 6,752.75,EUR,0.93,1.0,Neutral,Germany,German,2023-06-08,True,1,2,1,2,1,1,BestBuy
123,Tim Weitzel,37,Realme,Realme Narzo 70,332.14,EUR,0.93,4.0,Positive,Germany,German,2023-04-05,True,2,4,5,3,3,4,AliExpress
124,Colleen Brock,46,Apple,iPhone 15 Pro,1282.35,AUD,1.53,4.0,Positive,Australia,English,2025-10-07,True,3,3,4,3,4,4,Flipkart
125,Anika Roht B.A.,27,Realme,Realme 12 Pro,298.52,EUR,0.93,4.0,Positive,Germany,German,2023-04-28,True,3,3,3,5,3,3,Flipkart
126,Robert Contreras,32,Xiaomi,Poco X6,405.55,AED,3.67,4.0,Positive,UAE,English,2025-03-08,False,4,4,4,3,3,5,eBay
127,Tiffany Vance,33,Realme,Realme Narzo 70,417.44,USD,1.0,4.0,Positive,USA,English,2025-05-30,True,3,3,3,3,4,5,BestBuy
128,Dr Henry Williams,29,Realme,Realme 12 Pro,477.29,GBP,0.78,4.0,Positive,UK,English,2023-06-26,True,3,2,3,3,5,4,BestBuy
129,Shivani Lad,22,Realme,Realme Narzo 70,518.69,INR,83.0,3.0,Positive,India,Hindi,2023-11-10,True,2,2,3,4,3,6,BestBuy
130,Vedhika Khare,30,Apple,iPhone 15 Pro,752.16,INR,83.0,3.0,Positive,India,Hindi,2023-12-22,True,4,3,3,5,4,7,Flipkart
131,Micheal Young,28,Google,Pixel 7a,880.75,AED,3.67,3.0,Neutral,UAE,English,2024-03-26,True,1,3,3,3,3,3,AliExpress
132,Joshua Taylor,32,Samsung,Galaxy Note 20,602.02,AED,3.67,4.0,Positive,UAE,English,2023-10-16,True,4,3,2,3,4,10,AliExpress
133,Ms Lindsey Stevens,55,Motorola,Edge 50,297.34,GBP,0.78,5.0,Positive,UK,English,2024-07-27,True,5,5,5,4,5,7,Amazon
134,Joshua Perry,20,Samsung,Galaxy S24,894.21,AED,3.67,1.0,Negative,UAE,English,2023-09-08,True,1,1,1,1,1,1,BestBuy
135,Dipl.-Ing. Theda Winkler,45,Google,Pixel 6,770.21,EUR,0.93,3.0,Neutral,Germany,German,2025-04-16,False,3,2,3,2,2,3,Flipkart
136,Mark Baxter-Miller,35,Xiaomi,Poco X6,287.44,GBP,0.78,2.0,Negative,UK,English,2024-06-03,False,1,2,1,2,3,1,AliExpress
137,Tommy Evans,31,Realme,Realme 12 Pro,193.94,USD,1.0,4.0,Positive,USA,English,2024-06-18,True,4,4,4,5,4,6,AliExpress
138,Prof. Nelli Wähner,28,OnePlus,OnePlus 12,597.26,EUR,0.93,3.0,Negative,Germany,German,2025-02-16,False,1,1,1,1,1,3,eBay
139,Stephanie Freeman,24,Google,Pixel 7a,1077.69,AUD,1.53,3.0,Neutral,Australia,English,2023-12-19,True,3,2,3,2,2,1,eBay
140,Allen Rogers,18,Xiaomi,Mi 13 Pro,434.38,CAD,1.38,4.0,Positive,Canada,English,2025-09-11,True,4,5,3,4,4,4,eBay
141,Misty Pittman,41,Apple,iPhone SE,1335.66,AED,3.67,4.0,Positive,UAE,English,2023-05-08,False,3,4,4,4,4,7,Flipkart
142,Vincent Payne,46,Xiaomi,Redmi Note 13,503.54,GBP,0.78,3.0,Neutral,UK,English,2024-06-25,True,3,3,1,2,2,4,Amazon
143,Mary Miller,28,Motorola,Moto G Power,505.34000000000003,USD,1.0,2.0,Neutral,USA,English,2024-08-17,True,1,1,1,1,2,1,Flipkart
144,Kate Clayton,40,Xiaomi,Poco X6,458.29,GBP,0.78,3.0,Positive,UK,English,2023-11-30,True,2,3,5,3,2,3,BestBuy
145,Lunna Cunha,40,OnePlus,OnePlus 11R,574.4,BRL,5.7,3.0,Positive,Brazil,Portuguese,2024-09-27,False,3,3,2,2,4,6,AliExpress
146,Philip Gray,46,Xiaomi,Mi 13 Pro,518.2,AED,3.67,4.0,Positive,UAE,English,2024-08-06,True,4,3,3,1,3,3,Flipkart
147,Bradley Smith,34,Realme,Realme Narzo 70,213.68,CAD,1.38,4.0,Positive,Canada,English,2025-02-05,False,2,5,3,4,4,5,Amazon
148,Willibert Killer,29,Xiaomi,Redmi Note 13,466.98,EUR,0.93,4.0,Positive,Germany,German,2023-10-05,True,3,3,2,3,4,6,Amazon
149,Rachael Pearson,19,OnePlus,OnePlus Nord 3,629.46,AUD,1.53,2.0,Neutral,Australia,English,2022-12-09,True,1,3,2,2,1,2,eBay
150,Caroline Bryant,19,Google,Pixel 6,923.35,GBP,0.78,2.0,Neutral,UK,English,2025-06-13,True,1,1,1,1,2,1,eBay
151,Cameron Caldwell,27,Google,Pixel 6,887.49,CAD,1.38,2.0,Neutral,Canada,English,2025-03-16,True,1,1,2,3,1,3,eBay
152,Julie Scott,35,Realme,Realme Narzo 70,383.95,AED,3.67,4.0,Positive,UAE,English,2024-05-17,False,4,3,3,3,3,1,eBay
153,Katy Jenkins,27,OnePlus,OnePlus 11R,841.54,GBP,0.78,4.0,Positive,UK,English,2023-04-17,False,4,3,5,4,3,4,AliExpress
154,Leonardo Caldeira,27,OnePlus,OnePlus 11R,702.11,BRL,5.7,3.0,Neutral,Brazil,Portuguese,2025-04-07,False,4,1,2,1,2,3,Flipkart
155,Eric Byrd,53,Xiaomi,Mi 13 Pro,269.6,USD,1.0,4.0,Positive,USA,English,2024-05-27,True,4,4,5,5,3,3,AliExpress
156,Veronika Trubin-Gumprich,32,OnePlus,OnePlus 11R,976.62,EUR,0.93,1.0,Negative,Germany,German,2023-02-17,True,2,1,1,1,1,2,AliExpress
157,Harsh Mitra,29,Motorola,Razr 40,477.61,INR,83.0,2.0,Negative,India,Hindi,2025-09-18,False,1,3,1,1,1,3,BestBuy
158,Barbara Riggs,35,Motorola,Edge 50,788.44,AUD,1.53,5.0,Positive,Australia,English,2022-12-24,True,5,5,5,4,4,7,Flipkart
159,Priya Prabhakar,26,Realme,Realme 12 Pro,443.17,INR,83.0,1.0,Negative,India,Hindi,2023-02-06,True,2,1,1,1,1,2,BestBuy
160,Gloria Atkinson,24,Realme,Realme 12 Pro,582.13,USD,1.0,3.0,Positive,USA,English,2024-11-21,True,3,3,3,3,2,7,Flipkart
161,Tyler Reid,24,Samsung,Galaxy A55,807.54,AUD,1.53,4.0,Positive,Australia,English,2024-10-05,False,4,3,4,4,3,4,BestBuy
162,Heinz-Joachim Gierschner-Wagner,22,Motorola,Moto G Power,441.72,EUR,0.93,4.0,Positive,Germany,German,2025-01-09,True,3,4,3,3,1,6,Amazon
163,Júlia Pimenta,18,Samsung,Galaxy A55,1288.66,BRL,5.7,5.0,Positive,Brazil,Portuguese,2025-02-04,True,4,5,3,5,5,6,eBay
164,Julie Petersen,24,Apple,iPhone SE,927.42,USD,1.0,4.0,Positive,USA,English,2025-04-29,True,4,3,5,4,3,3,eBay
165,Samuel Rivas,21,Google,Pixel 7a,1003.6,AUD,1.53,5.0,Positive,Australia,English,2023-03-05,True,4,4,3,4,4,7,AliExpress
166,Jerry Christensen,44,Google,Pixel 7a,796.29,CAD,1.38,3.0,Positive,Canada,English,2025-03-25,False,5,5,5,5,5,4,BestBuy
167,Jamie Johnson,30,Realme,Realme Narzo 70,331.22,USD,1.0,1.0,Negative,USA,English,2024-03-09,False,1,1,1,1,2,2,BestBuy
168,Daniel Salinas,36,Xiaomi,Redmi Note 13,436.14,USD,1.0,1.0,Negative,USA,English,2024-04-02,True,1,1,1,1,1,3,BestBuy
169,Hilary Harrison-White,36,Realme,Realme Narzo 70,479.55,GBP,0.78,4.0,Positive,UK,English,2022-11-06,False,3,3,4,2,4,1,AliExpress
170,Frederick Khurana,27,Xiaomi,Mi 13 Pro,368.67,INR,83.0,3.0,Positive,India,Hindi,2024-07-14,True,3,1,3,5,4,1,Flipkart
171,Peter Vaughn DDS,41,Motorola,Moto G Power,778.1,USD,1.0,3.0,Positive,USA,English,2024-11-22,True,3,3,3,3,3,2,BestBuy
172,Alan Phillips,18,Samsung,Galaxy S24,693.31,AED,3.67,3.0,Neutral,UAE,English,2024-07-11,True,3,3,1,3,3,2,AliExpress
173,Elizabeth Perkins,18,Apple,iPhone 14,752.56,AUD,1.53,4.0,Positive,Australia,English,2024-10-26,True,3,5,4,4,2,5,Flipkart
